Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  Invercargill city,13470,13890,9740,70.1,11800,12210,8610,70.5,25120,3090,2620,11.4,1400,930,328405900
Sep-16,Total territorial authority,14560,15050,11190,74.4,12410,12800,9730,76,2002180,289890,297020,14.6,119670,126800,28266621500
,  Far North district,11380,11740,8890,75.7,10260,10510,8130,77.4,16560,2300,2700,14.9,1020,1420,183101200
,  Whangarei district,13600,14130,10120,71.6,11820,12240,9000,73.5,31610,4350,4050,13.4,1910,1610,418940700
,  Kaipara district,12380,12600,11200,88.9,11210,11470,9590,83.6,5340,890,870,16.5,470,450,63630600
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,15960,16560,11880,71.7,13120,13620,10040,73.7,708520,101470,99490,14.2,38810,36830,10977117300
,  Thames-Coromandel district,10710,11030,8710,79,9450,9750,7760,79.6,8520,1280,1580,16.5,550,850,88569900
,  Hauraki district,11490,11780,9760,82.9,10390,10660,8940,83.9,4830,920,1020,20,420,520,58265600
,  Waikato district,13230,13600,10910,80.2,12040,12380,10250,82.8,15530,2540,2600,16.5,1260,1330,198123100
,  Matamata-Piako district,13790,14200,11370,80.1,12480,12730,11310,88.9,13670,2060,1780,14.2,1050,780,183638300
,  Hamilton city,14410,14910,10600,71.1,12500,12920,9380,72.6,80340,10980,10480,13.4,3990,3490,1116618700
,  Waipa district,12740,13210,9700,73.4,11480,11900,9140,76.8,16210,2560,2370,15.3,1250,1050,200688400
,  Otorohanga district,12930,13370,10320,77.2,12480,12890,10950,85,3200,580,550,17.7,320,290,39766200
,  South Waikato district,13510,13780,11920,86.5,12380,12530,11440,91.3,7660,1150,1030,14.3,560,440,101216300
,  Waitomo district (modified),11810,12040,10230,85,10550,10680,9910,92.8,3730,530,590,14.5,230,290,42654600
,  Taupo district (modified),12710,13010,10770,82.8,11170,11430,9220,80.7,14090,2120,2140,15.1,900,920,173328500
,  Western Bay of Plenty district,11370,11910,9030,75.8,10210,10680,8470,79.3,15430,3660,9050,35.1,1610,7000,165511800
,  Tauranga city,13500,13970,10580,75.7,11830,12200,9360,76.7,56350,9660,9620,17.1,4230,4190,724143800
,  Rotorua district,12960,13300,10430,78.4,11340,11590,9170,79.1,28780,4020,3990,13.9,1660,1630,361738800
,  Whakatane district (modified),12540,12990,9570,73.7,10780,11230,8130,72.4,12380,1750,2090,15.3,790,1130,149832100
,  Kawerau district,16810,17300,11810,68.3,15220,15930,10490,65.9,2500,230,210,8.7,120,85,41510500
,  Opotiki district,10660,11080,8900,80.3,9520,9870,7950,80.6,3110,730,1460,31.5,360,1080,30911900
,  Gisborne district,11890,12240,9530,77.9,10620,10920,8580,78.6,18010,3200,3280,18,1650,1740,202327700
,  Wairoa district,11590,11940,9650,80.8,10380,10670,8510,79.8,2420,380,620,19.8,210,450,27057600
,  Hastings district (modified),13010,13370,10590,79.2,11560,11870,9550,80.5,34540,5200,7570,17.7,2230,4590,433023900
,  Napier city,12250,12670,9400,74.2,10890,11310,8470,74.9,23180,3430,3720,15.5,1330,1620,274014000
,  Central Hawke's Bay district,11450,11780,10240,86.9,10570,10850,9890,91.2,4260,550,1240,19.6,270,960,47670100
,  New Plymouth district,14330,14740,10890,73.9,12030,12380,9560,77.2,33200,3850,4160,12,1630,1930,471431700
,  Stratford district,11510,11740,9630,82,10190,10400,8880,85.4,2750,340,370,12.9,170,200,30435200
,  South Taranaki district,14560,14970,10960,73.2,12870,13220,10690,80.9,11130,1580,1630,14.4,770,810,156697500
,  Ruapehu district (modified),12070,12900,8770,68,10750,11670,7450,63.8,5640,1480,770,21.2,1000,300,64184300
,  Wanganui district,11700,11990,9140,76.2,10520,10810,8400,77.7,16440,2020,2020,12.3,910,900,187629500
,  Rangitikei district (modified),11160,11510,8700,75.6,10170,10450,8400,80.4,4760,770,750,16,430,410,50628200
,  Manawatu district,12370,12630,10620,84.1,11320,11580,9480,81.9,7880,1060,1120,13.8,480,540,94808400
,  Palmerston North city,13590,14020,9800,69.9,12050,12440,8810,70.8,45980,5330,5610,11.8,1770,2050,610996000
,  Tararua district,11520,11910,9010,75.7,10380,10630,8630,81.2,5420,1070,920,18.6,660,510,58897400
,  Horowhenua district,11210,11410,10120,88.7,10110,10320,9000,87.2,8160,1140,1170,14.2,560,590,89955700
,  Kapiti Coast district,11130,11490,8640,75.2,9880,10200,8020,78.6,12030,1710,1630,13.9,850,770,129553100
,  Porirua city,13550,13950,10800,77.4,12120,12470,9890,79.3,15000,1950,1660,12.2,910,610,198370600
,  Upper Hutt city,13400,13720,10540,76.8,12110,12430,9520,76.6,10100,1220,1100,11.6,530,400,132409200
,  Lower Hutt city,13870,14250,10810,75.9,12310,12650,9540,75.4,41070,5150,4850,12.2,1990,1700,557966300
,  Wellington city,18090,18690,13510,72.3,15010,15550,11040,71,145580,19670,19480,13.5,6810,6620,2561702500
,  Masterton district,11620,11910,9660,81.1,10310,10640,7680,72.2,9700,1260,1280,13.1,580,590,110324100
,  Carterton district,11410,11610,10450,90,10630,10860,9240,85.1,2540,340,330,13.3,160,150,28697000
,  South Wairarapa district,10900,11230,9300,82.8,9990,10300,8960,87,2680,450,600,18.9,230,380,28292500
,  Tasman district,11710,12100,9450,78.1,10410,10780,8510,78.9,17220,2760,3950,18.8,1300,2490,195222600
,  Nelson city,12820,13180,10120,76.8,11240,11580,9120,78.8,24250,3420,3360,14,1420,1360,304694000
,  Marlborough district,12660,13040,9680,74.2,11440,11740,8750,74.5,21010,4100,3600,18.5,2210,1710,257078700
,  Kaikoura district,10620,11110,7520,67.7,9640,10200,6910,67.8,1290,200,250,17.1,110,150,13285400
,  Buller district,13810,13720,15020,109.5,11960,11880,13430,113.1,3310,440,550,14.7,180,290,50609700
,  Grey district,13050,13320,10450,78.5,11940,12210,9560,78.3,6170,710,650,11.1,330,270,78637300
,  Westland district,12400,12740,10250,80.5,11250,11630,9750,83.8,3160,430,630,16.2,160,360,38484400
,  Hurunui district,11640,12000,9790,81.6,10590,10880,9490,87.2,4520,910,880,21,500,470,49667100
,  Waimakariri district,12110,12460,9700,77.9,11120,11450,8950,78.2,13440,1880,1830,13.7,910,850,157337800
,  Christchurch city (modified),14470,14910,11180,75,12600,12970,9980,77,198670,26340,26550,13.3,10070,10280,2801209600
,  Selwyn district,13880,14310,11150,77.9,12930,13230,10930,82.6,15440,2360,2100,14.6,1100,840,206874900
,  Ashburton district,12570,13010,10370,79.7,11990,12390,9780,78.9,15840,2930,2410,17.2,1640,1120,192015900
,  Timaru district,12790,13180,10460,79.4,11620,11960,10090,84.4,20920,2740,3080,13.8,1220,1560,262507200
,  Mackenzie district,12400,12920,9600,74.3,10380,10850,9400,86.6,1950,430,410,22.1,210,190,22683200
,  Waimate district,12270,12530,10800,86.2,11820,12000,10750,89.6,2130,380,370,17.8,210,200,25214000
,  Waitaki district,12410,12370,13110,106,11330,11310,12070,106.7,8650,1340,1570,16.5,690,920,104598400
,  Central Otago district,11910,12200,10080,82.6,10870,11190,9510,85,8780,1690,1620,18.9,820,760,101336000
,  Queenstown-Lakes district,12570,13380,9870,73.8,10650,11380,8780,77.2,21510,5950,3950,24.1,3230,1230,252442000
,  Dunedin city,13140,13500,10250,75.9,11540,11930,8660,72.6,53830,6420,6780,12.2,2320,2680,685389100
,  Clutha district,12470,12710,11370,89.5,12000,12160,11440,94.1,7070,1400,1610,21,680,890,85891300
,  Southland district,13010,13340,11170,83.7,12470,12740,11450,89.9,11640,2310,3210,22.9,1080,1970,145347600
,  Gore district,11530,11750,9910,84.3,10530,10770,9030,83.8,5410,840,1030,17.1,400,590,60732400
,  Invercargill city,12580,12880,9950,77.3,11180,11460,8800,76.8,25110,2930,3080,11.9,1260,1420,308982000
Jun-16,Total territorial authority,14330,15050,11060,73.5,12290,12910,9560,74.1,2009310,351670,306800,16.6,182520,137640,27900119800
,  Far North district,11250,11790,9080,77,10150,10610,8030,75.7,17000,3310,2990,18.7,1850,1530,183725000
,  Whangarei district,13480,14140,10890,77,11770,12350,9210,74.6,31230,5520,4380,16.2,3050,1910,408425300
,  Kaipara district,12150,12760,9790,76.7,11060,11640,9100,78.2,5320,980,1030,18.6,530,590,63155400
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,15560,16400,11650,71,12970,13650,10000,73.3,706650,121140,100720,15.9,59400,38970,10664339400
,  Thames-Coromandel district,10750,11250,8380,74.5,9540,10000,7100,71,8830,1620,1810,19.1,830,1020,91054300
,  Hauraki district,12080,12700,9970,78.5,10510,11040,9050,82,4920,960,860,18.8,550,450,66346600
,  Waikato district,13190,13890,10350,74.5,12150,12720,9510,74.8,15580,2570,2920,17.6,1340,1690,200399200
,  Matamata-Piako district,13580,14180,10520,74.2,12400,12900,9340,72.4,13380,2030,2110,15.5,1200,1290,178661500
,  Hamilton city,14160,14860,10880,73.2,12380,12980,9280,71.5,79840,12910,10670,15,6160,3920,1093916600
,  Waipa district,12590,13130,11030,84,11440,11970,9640,80.5,16030,2760,2740,17.2,1460,1440,195576400
,  Otorohanga district,13090,13490,11360,84.2,12500,12800,11310,88.4,3170,450,590,16.1,240,380,39907100
,  South Waikato district,13220,13620,11940,87.7,12340,12710,10890,85.7,7520,1250,1000,15.3,780,520,97587300
,  Waitomo district (modified),12880,13500,10170,75.3,11400,11890,9220,77.5,4000,590,650,15.5,300,360,49630500
,  Taupo district (modified),12400,13040,9090,69.7,11160,11740,7990,68.1,14100,2340,2530,17.2,1020,1210,169469600
,  Western Bay of Plenty district,11530,12340,9800,79.4,10430,11110,9500,85.5,20830,10680,3610,41.6,8690,1630,203349200
,  Tauranga city,13260,13930,10330,74.2,11540,12120,9250,76.3,56300,11400,9060,18.5,5750,3420,714605800
,  Rotorua district,12680,13350,9490,71.1,11230,11870,8270,69.7,28780,4650,4550,16,2240,2140,355567200
,  Whakatane district (modified),12460,12950,10800,83.4,10820,11290,9020,79.9,12740,2560,1990,18.2,1650,1070,153867900
,  Kawerau district,16890,17470,14660,83.9,15630,16130,14870,92.2,2470,310,240,11.4,190,110,40855200
,  Opotiki district,10860,11520,8930,77.5,9900,10300,8880,86.2,3840,1760,680,37,1350,270,35502100
,  Gisborne district,12020,12720,9270,72.9,10520,11090,8110,73.1,18070,3630,3920,20.7,1820,2110,206440900
,  Wairoa district,11710,12380,9790,79.1,10620,11330,8460,74.7,2670,580,690,23.3,350,460,28559800
,  Hastings district (modified),12880,13560,10160,74.9,11500,12030,9530,79.2,37480,7790,7500,20.5,3800,3510,462877200
,  Napier city,12080,12660,9690,76.5,10890,11430,8360,73.1,22890,3880,3630,16.4,1890,1650,265630300
,  Central Hawke's Bay district,11190,11760,9920,84.4,10620,11200,9960,88.9,4940,1610,760,26.2,1210,360,53333300
,  New Plymouth district,14170,14660,12050,82.2,12000,12490,9230,73.9,33500,5020,4610,14.5,2560,2150,475735600
,  Stratford district,11090,11890,7700,64.8,10130,10780,6580,61,2790,440,390,14.9,250,200,29858300
,  South Taranaki district,14140,14600,11050,75.7,12780,13130,9930,75.6,11180,1460,1720,14.2,930,1190,155481800
,  Ruapehu district (modified),12140,12770,10310,80.7,11040,11500,8750,76.1,4930,920,890,18.3,460,430,58257300
,  Wanganui district,12090,12660,8540,67.5,10860,11320,7940,70.1,16430,2180,1950,12.7,1040,810,193764600
,  Rangitikei district (modified),11180,11800,8030,68.1,10440,11060,7420,67.1,4730,790,1020,18.5,420,660,51361400
,  Manawatu district,12140,12580,10690,85,11380,11720,9690,82.7,7950,1240,1310,15.9,630,700,94750600
,  Palmerston North city,13300,13980,9840,70.4,11790,12340,8770,71.1,46260,6800,5290,13.3,3190,1680,596416600
,  Tararua district,11270,11740,9780,83.3,10270,10620,8840,83.2,5260,850,1070,17.8,450,670,57131200
,  Horowhenua district,11020,11510,8830,76.7,10100,10520,8210,78,8190,1210,1170,14.7,590,550,90019000
,  Kapiti Coast district,11000,11470,9030,78.7,9810,10250,7850,76.6,12000,2070,1740,16.1,1140,820,128136300
,  Porirua city,13390,13870,12290,88.6,11860,12280,10680,87,14720,2680,1720,15.5,1650,690,193558000
,  Upper Hutt city,13230,13850,10130,73.1,11970,12500,8770,70.2,9960,1380,1170,12.9,740,530,129992900
,  Lower Hutt city,13780,14370,10760,74.9,12200,12690,9500,74.9,40680,5940,5230,13.9,2900,2190,549098600
,  Wellington city,18060,19010,13430,70.7,15090,15910,10770,67.7,145300,24260,19720,15.4,12660,8110,2556548000
,  Masterton district,11310,11760,9920,84.4,10190,10620,7880,74.2,9710,1510,1470,15.4,750,700,107101900
,  Carterton district,11590,11950,9850,82.4,10620,10960,8650,78.9,2520,340,350,13.8,180,180,28772600
,  South Wairarapa district,10720,11260,8240,73.2,9960,10480,6640,63.4,2820,640,640,22.7,360,360,28399000
,  Tasman district,11730,12210,9780,80.1,10650,11000,9090,82.6,18430,4040,4060,22.2,2110,2130,208938900
,  Nelson city,12730,13230,10440,78.9,11180,11640,8880,76.3,24220,4020,3900,16.3,1840,1730,300230300
,  Marlborough district,12750,13300,10300,77.4,11490,12000,9210,76.8,20500,4140,4740,21.4,1690,2290,253464800
,  Kaikoura district,10990,11900,6180,51.9,9650,10430,4890,46.9,1340,230,370,21.2,100,240,14684900
,  Buller district,13450,13990,10140,72.5,11640,12170,8460,69.5,3430,520,690,17.3,280,460,48903200
,  Grey district,13020,13540,9710,71.7,11820,12360,9340,75.6,6090,750,770,12.5,360,380,77879700
,  Westland district,12110,12760,8140,63.8,11250,12000,7720,64.3,3370,560,770,19.3,280,500,40961600
,  Hurunui district,11170,11740,8880,75.6,10290,10740,7900,73.6,4040,820,810,20.3,410,400,43356900
,  Waimakariri district,11910,12530,9220,73.6,11010,11650,8420,72.3,13720,2260,1830,15.2,1280,860,158954900
,  Christchurch city (modified),14210,14830,11470,77.3,12500,13000,10210,78.5,198920,31720,27990,15.2,15980,12250,2755226500
,  Selwyn district,13690,14450,10440,72.3,12510,13140,9110,69.3,15200,2360,2300,15.1,1180,1130,201112900
,  Ashburton district,12530,13090,9600,73.3,12010,12500,9590,76.7,15300,2820,2640,18,1550,1380,189657900
,  Timaru district,12750,13270,11020,83,11710,12120,10000,82.5,21290,4200,3060,17.5,2780,1640,267960400
,  Mackenzie district,11680,12210,9330,76.4,10680,11150,8660,77.7,1900,380,580,24.2,130,330,21635600
,  Waimate district,12190,12640,9700,76.7,11470,11840,8900,75.2,2130,280,350,14.6,160,230,25450400
,  Waitaki district,12090,12640,9630,76.2,11000,11510,8270,71.9,8880,1520,1480,16.9,860,820,107282400
,  Central Otago district,11660,12190,9410,77.2,10770,11340,8710,76.8,8720,1830,3060,26.1,720,1950,99631600
,  Queenstown-Lakes district,12410,13170,9880,75,10820,11480,8570,74.7,19510,4750,5150,25.2,1820,2210,233007600
,  Dunedin city,12890,13720,9030,65.8,11530,12210,7500,61.4,54180,9090,10170,17.6,5350,6430,675465000
,  Clutha district,12530,13120,10060,76.7,11760,12300,8400,68.3,7270,2050,1470,25.2,1650,1080,91752600
,  Southland district,13080,13460,11810,87.7,12720,13020,11280,86.6,12530,1810,3480,19.8,970,2640,161131500
,  Gore district,11430,12030,8920,74.2,10600,11210,8390,74.8,5600,940,1040,17.4,580,670,64149100
,  Invercargill city,12530,13140,9080,69.1,11280,11860,8080,68.1,25270,3590,2980,13.2,1860,1250,312114100
Mar-16,Total territorial authority,14460,14960,10590,70.8,12320,12750,9100,71.4,1964430,301040,329210,15.9,133500,161670,27390594800
,  Far North district,11440,11910,8260,69.4,10330,10780,7480,69.4,16700,2910,3150,18,1430,1680,184872400
,  Whangarei district,13830,14300,9890,69.2,11900,12300,8420,68.5,30150,4220,4820,14.9,1720,2320,402400900
,  Kaipara district,12050,12510,9350,74.7,10810,11300,8520,75.4,5470,850,1260,18.7,360,770,63248300
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,15700,16310,11030,67.6,12980,13490,9310,69,686040,100440,110480,15.3,41090,51130,10409192100
,  Thames-Coromandel district,10740,11250,8080,71.8,9390,10000,7060,70.6,9050,1720,1440,17.7,950,670,93380200
,  Hauraki district,12090,12540,8750,69.8,10440,10920,7080,64.8,4840,810,1210,20,400,800,57023700
,  Waikato district,13100,13550,10190,75.2,12030,12430,9490,76.4,15700,2620,3730,19.6,1370,2490,196517800
,  Matamata-Piako district,13890,14280,10290,72.1,12480,12770,9380,73.5,13410,1610,1910,13,670,970,179101100
,  Hamilton city,14190,14680,9800,66.8,12320,12740,8690,68.2,77840,10880,12070,14.6,4370,5550,1067229500
,  Waipa district,12690,13090,9420,72,11370,11740,8590,73.2,15990,2620,2910,17.1,1470,1760,197342100
,  Otorohanga district,12540,12940,9360,72.3,12020,12420,9490,76.4,3320,510,520,15.4,290,290,40262100
,  South Waikato district,13260,13600,9470,69.6,11980,12260,8790,71.7,7260,870,1230,14.1,370,730,95614100
,  Waitomo district (modified),13380,13930,10180,73.1,11700,12270,9140,74.5,4060,710,770,18.1,350,400,51667100
,  Taupo district (modified),12430,12950,9040,69.8,11030,11490,8200,71.4,14270,2450,2320,16.8,1150,1020,169157000
,  Western Bay of Plenty district,11290,11790,8670,73.5,10200,10630,7700,72.4,13520,3030,4350,26,1270,2590,144832700
,  Tauranga city,13190,13720,9570,69.8,11560,12060,8290,68.7,54210,8720,10100,17.2,3450,4840,686832400
,  Rotorua district,12900,13390,9260,69.2,11280,11700,8130,69.5,28740,4260,4380,15,1890,2010,357035600
,  Whakatane district (modified),12680,13160,9330,70.9,10690,11140,7830,70.3,12180,1700,2150,15.5,760,1210,149587200
,  Kawerau district,17430,17800,11560,64.9,15300,15780,9420,59.7,2400,210,320,11,85,190,40617400
,  Opotiki district,10720,11280,7580,67.2,9400,9960,6490,65.2,2760,600,1090,28.1,160,650,27786200
,  Gisborne district,12090,12460,9490,76.2,10730,11080,8470,76.4,18400,3860,3940,21.2,1910,1990,206846000
,  Wairoa district,12010,12420,9500,76.5,11090,11320,8720,77,2780,650,770,24.9,340,450,30495400
,  Hastings district (modified),12820,13520,9560,70.7,11350,12050,8860,73.5,37020,8570,7050,21.6,4580,3060,451540000
,  Napier city,12210,12720,8470,66.6,10970,11450,7800,68.1,22800,3550,3860,16.2,1500,1800,268253100
,  Central Hawke's Bay district,11820,12230,9440,77.2,11080,11510,8850,76.9,4120,900,1570,27.8,460,1130,46959800
,  New Plymouth district,14940,15350,11030,71.9,12050,12410,8980,72.4,33120,4270,4740,13.5,1880,2350,490418300
,  Stratford district,11530,11890,8400,70.7,10480,10800,7540,69.8,2760,380,470,15.1,170,270,29983300
,  South Taranaki district,14910,15390,10410,67.6,12960,13290,10100,76,11330,1280,1540,12.3,660,920,163097300
,  Ruapehu district (modified),12590,13010,9290,71.4,11280,11700,8140,69.6,4890,960,1140,21.1,480,660,58258100
,  Wanganui district,11800,12090,8940,74,10730,10990,7930,72.2,16190,1930,2170,12.5,780,1020,185368600
,  Rangitikei district (modified),11890,12120,10180,84,11180,11400,9930,87.1,4980,920,1010,19.3,530,610,55950600
,  Manawatu district,12530,12830,10070,78.5,11600,11870,9600,80.9,8010,1120,1270,14.8,530,680,97109900
,  Palmerston North city,13690,14110,9680,68.6,12110,12500,8710,69.7,44630,5610,6580,13.5,2160,3130,589977800
,  Tararua district,11710,12070,9400,77.9,10330,10510,8280,78.8,5600,990,990,17.7,550,550,61724200
,  Horowhenua district,11200,11550,9690,83.9,10180,10480,9160,87.4,8120,1200,1300,15.3,590,680,89265600
,  Kapiti Coast district,11190,11580,8320,71.9,9860,10220,7300,71.4,11650,1720,1950,15.6,840,1060,125170100
,  Porirua city,13580,13880,10980,79.1,11960,12300,9090,73.9,13680,1750,2540,15.2,690,1490,184862200
,  Upper Hutt city,13660,13930,11070,79.5,12090,12360,9460,76.5,9780,1090,1600,13.4,420,930,129927200
,  Lower Hutt city,14210,14560,10840,74.5,12440,12740,8910,69.9,39970,4910,6040,13.5,2060,3200,551600000
,  Wellington city,17950,18440,14110,76.5,14990,15360,11490,74.8,140930,19790,22000,14.7,7970,10180,2447218300
,  Masterton district,11680,11890,10380,87.3,10410,10650,8710,81.8,9670,1340,1580,15,590,820,108932900
,  Carterton district,11540,11710,9290,79.3,10720,10960,8420,76.8,2500,250,390,12.5,110,250,28291200
,  South Wairarapa district,10870,11320,8950,79.1,9920,10370,7900,76.2,2810,590,590,20.9,330,340,28550100
,  Tasman district,11620,12180,8290,68.1,10400,10890,7950,73,18020,4170,3360,21.3,2310,1500,200829400
,  Nelson city,12640,13040,9390,72,11180,11560,8560,74.1,24500,4310,4280,17.6,2030,2000,296615400
,  Marlborough district,12640,13100,9730,74.3,11470,12000,8980,74.8,21090,4430,4010,20.2,2220,1810,252607100
,  Kaikoura district,11480,12210,8570,70.2,10310,10790,7810,72.4,1470,360,280,22.3,200,130,15735400
,  Buller district,13690,14120,11010,78,11760,12180,8570,70.4,3600,540,520,14.8,220,200,51018900
,  Grey district,13230,13570,10180,75,12040,12470,9290,74.5,6110,730,940,13.4,300,510,79062300
,  Westland district,12680,13260,9470,71.4,11270,11900,9240,77.7,3590,690,700,19.3,300,300,43450700
,  Hurunui district,11630,12070,9200,76.2,10830,11340,8930,78.8,4020,820,870,20.8,430,480,44735900
,  Waimakariri district,12160,12510,9050,72.3,11030,11360,8470,74.6,13330,1820,2300,15.2,880,1370,157781900
,  Christchurch city (modified),14140,14570,10470,71.9,12370,12740,9260,72.7,194770,26840,31720,14.9,11080,15960,2682120000
,  Selwyn district,13940,14410,9880,68.6,12960,13300,9360,70.4,15550,2150,2460,14.7,900,1210,209049700
,  Ashburton district,13050,13300,10880,81.8,12450,12650,10710,84.7,15080,2250,2760,16.4,1030,1550,189833200
,  Timaru district,12940,13220,10060,76.1,11780,12000,9110,75.9,20180,2830,3730,15.9,1290,2190,256137700
,  Mackenzie district,11830,11790,11760,99.8,10430,10900,9150,83.9,2100,610,410,25.5,350,150,23380800
,  Waimate district,12410,12760,10270,80.5,11680,12000,9930,82.8,2180,330,370,16.1,190,230,25935300
,  Waitaki district,12900,13280,10250,77.2,11720,11810,10190,86.3,8850,1620,1730,18.8,800,910,111295700
,  Central Otago district,11640,12250,9040,73.8,10590,11310,8580,75.9,9970,2890,1660,24.3,1940,710,114851100
,  Queenstown-Lakes district,12550,13300,9550,71.8,11120,11760,9090,77.3,19860,5140,4280,24.2,2180,1320,236998800
,  Dunedin city,13370,13780,9440,68.5,11700,12070,8020,66.5,55280,10320,8490,17.3,6140,4310,713994200
,  Clutha district,12600,12860,10840,84.3,11900,12080,10870,90,6710,1430,1960,24.3,880,1410,78615800
,  Southland district,13650,13920,11800,84.8,13190,13270,11730,88.4,14170,3360,2250,20.6,2260,1150,184074700
,  Gore district,12180,12390,11080,89.4,11070,11080,11510,103.9,5720,1060,1090,18.7,620,650,67375900
,  Invercargill city,12940,13270,9790,73.8,11440,11720,8790,75,24670,3000,3760,13.5,1220,1980,311594900
Dec-15,Total territorial authority,14870,15330,11420,74.5,12720,13120,9870,75.2,1992600,299710,250400,14,140460,91140,28101381000
,  Far North district,11720,12050,9410,78.1,10440,10790,8300,76.9,16920,3020,2120,15.6,1850,950,185055400
,  Whangarei district,14140,14560,10650,73.2,12290,12650,9300,73.5,30740,4140,3470,12.5,1960,1290,413417500
,  Kaipara district,12720,13300,10130,76.2,11300,11820,9290,78.6,5870,1230,700,17.2,820,290,68457800
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,16120,16670,12040,72.2,13460,13920,10190,73.2,696200,101730,85760,13.6,44300,28320,10654377400
,  Thames-Coromandel district,11200,11540,9470,82.1,9930,10250,7940,77.5,8760,1620,1060,15.8,970,410,92422100
,  Hauraki district,12660,13100,9690,74,11110,11390,8630,75.8,5250,950,670,15.9,550,270,61545900
,  Waikato district,13890,14250,11280,79.2,12520,12880,10400,80.8,16720,3670,1930,17.6,2460,720,222573100
,  Matamata-Piako district,14470,14880,11090,74.5,12670,12980,10520,81.1,13710,1790,1720,12.8,910,830,189711800
,  Hamilton city,14640,15090,10880,72.1,12680,13090,9640,73.6,79030,10370,9100,12.4,4190,2920,1108995400
,  Waipa district,13360,13790,10290,74.6,11890,12230,9400,76.9,16310,2690,2040,14.8,1540,900,205198700
,  Otorohanga district,13250,13610,11760,86.4,12750,13190,10910,82.7,3310,530,450,14.9,290,200,42490600
,  South Waikato district,13770,14120,10600,75.1,12620,12990,9990,76.9,7620,900,880,11.7,370,360,100174500
,  Waitomo district (modified),14010,14340,12620,88,11760,12000,11260,93.8,4120,740,510,15.6,410,180,53234400
,  Taupo district (modified),13000,13430,9970,74.2,11570,12000,9030,75.3,14160,2290,1860,14.9,1110,690,174819600
,  Western Bay of Plenty district,11370,11880,9180,77.3,10440,10860,8540,78.6,14870,4210,3850,27.5,2170,1810,152220000
,  Tauranga city,13370,13860,10000,72.2,11790,12180,9020,74.1,55550,9780,7030,15.5,5040,2280,695730200
,  Rotorua district,13350,13720,10680,77.8,11780,12120,9500,78.4,28880,4320,3510,13.7,2150,1340,365725300
,  Whakatane district (modified),12870,13300,9900,74.4,11150,11520,8680,75.4,12630,1980,1560,14.2,1030,620,153233000
,  Kawerau district,17030,17400,12380,71.2,15600,16180,10800,66.8,2460,230,180,8.5,100,55,40493700
,  Opotiki district,10930,11340,8390,74,9710,9980,7650,76.7,3250,970,730,27.3,470,240,30981000
,  Gisborne district,12390,12770,9240,72.4,10980,11330,8340,73.6,18470,3390,2600,16.6,1790,1010,208785000
,  Wairoa district,12410,12810,10220,79.8,11420,11760,10350,88,2890,770,540,23.7,470,240,31185900
