Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  Otorohanga district,14460,14830,12970,87.5,13890,14170,12840,90.6,3310,490,580,16.1,250,330,46440800
,  South Waikato district,15000,15480,12280,79.3,13590,14110,10850,76.9,7840,1030,1110,13.6,490,560,114461400
,  Waitomo district (modified),13430,14030,11510,82,12230,12780,10470,81.9,4010,680,730,17.4,300,350,52644500
,  Taupo district (modified),13990,14570,11000,75.5,12490,12960,9940,76.7,15120,2450,2740,17,1130,1430,205553600
,  Western Bay of Plenty district,12920,13740,10820,78.8,11830,12650,10390,82.1,22990,11570,4140,40.8,9320,1890,244885700
,  Tauranga city,14830,15480,12270,79.3,13120,13620,11100,81.5,64890,13180,10950,18.9,6610,4380,914340600
,  Rotorua district,14250,14840,11110,74.9,12610,13120,9920,75.6,31070,4850,4830,15.6,2190,2160,426301600
,  Whakatane district (modified),13620,14250,10540,74,12040,12570,9610,76.5,13010,2360,2110,17.4,1280,1020,169236300
,  Kawerau district,17980,18750,12990,69.3,16720,17410,11770,67.6,2690,370,280,12.4,190,110,50175900
,  Opotiki district,12160,12740,10550,82.8,11220,11600,9690,83.5,3770,1510,810,34,1080,380,41495900
,  Gisborne district,13690,14290,10970,76.8,12240,12700,10120,79.7,19730,3670,3660,18.6,1820,1810,256024900
,  Wairoa district,12840,13440,10540,78.4,11700,12120,10220,84.3,2630,520,620,21.4,240,340,32288900
,  Hastings district (modified),14400,15100,11340,75.1,12840,13420,10940,81.5,40150,7530,8300,19.5,3030,3800,557498200
,  Napier city,13610,14200,11090,78.1,12250,12730,9990,78.5,24550,4230,4190,17.2,1970,1920,327708000
,  Central Hawke's Bay district,13230,13690,12700,92.8,12470,12810,12280,95.9,5320,1030,1030,19.4,480,480,68728700
,  New Plymouth district,15510,16080,12760,79.4,13170,13690,10740,78.5,35320,5140,4840,14.2,2380,2080,541033300
,  Stratford district,12520,13160,9740,74,11340,11860,8770,74,2830,370,460,14.5,160,240,35038300
,  South Taranaki district,15890,16470,11720,71.2,14320,14900,11140,74.8,11360,1350,1630,13,720,1000,174153500
,  Ruapehu district (modified),13650,14310,11000,76.9,12180,12710,9640,75.9,5250,1030,940,18.9,540,450,68808000
,  Wanganui district,13210,13740,10440,76,11910,12350,9550,77.3,17460,2760,2300,14.7,1380,910,223872700
,  Rangitikei district (modified),12840,13290,11060,83.2,11870,12230,9650,78.9,5120,770,1020,17.1,370,620,62927900
,  Manawatu district,13390,13900,11540,83,12320,12760,10670,83.6,8820,1240,1300,14.3,600,660,115423600
,  Palmerston North city,14700,15410,11310,73.4,13170,13700,10410,76,49020,7520,6030,14,3490,1990,699837100
,  Tararua district,12540,13030,10270,78.8,11720,12060,9720,80.6,5170,840,1060,18,450,670,61971200
,  Horowhenua district,12430,12880,10030,77.9,11390,11770,9680,82.2,8910,1290,1300,14.5,580,590,107556600
,  Kapiti Coast district,12280,12750,10140,79.5,11220,11600,9110,78.5,12930,1950,1820,14.7,970,850,154893600
,  Porirua city,14580,15230,11590,76.1,13010,13550,10580,78.1,17970,2740,2410,14.4,1330,1000,256407500
,  Upper Hutt city,15080,15300,15180,99.2,13440,13740,13060,95.1,11560,1770,1400,14,900,530,169532000
,  Lower Hutt city,15000,15620,11640,74.5,13360,13860,10510,75.8,43220,6520,5810,14.4,3000,2290,631234300
,  Wellington city,19900,20910,15700,75.1,16750,17560,12940,73.7,153980,26310,20760,15.6,13150,7600,2964102200
,  Masterton district,12520,13090,9750,74.5,11340,11810,9140,77.4,10280,1580,1650,15.7,690,760,125576100
,  Carterton district,12880,13250,10270,77.5,12100,12410,9090,73.3,2780,430,410,15.2,230,220,34197900
,  South Wairarapa district,11860,12370,9320,75.3,11040,11470,8800,76.7,2910,520,640,19.7,280,390,33037100
,  Tasman district,13330,13960,10990,78.7,11970,12530,10070,80.4,20710,4350,4530,21.3,2150,2330,265922100
,  Nelson city,14310,14890,11710,78.6,12580,13050,10340,79.2,25690,4100,3830,15.5,1790,1510,355965000
,  Marlborough district,14150,14780,11170,75.6,12700,13230,10550,79.7,22030,4430,4430,20.1,1870,1880,304544700
,  Kaikoura district,13060,13560,11080,81.7,11780,12240,9470,77.4,1490,250,360,19.7,100,200,18729300
,  Buller district,14200,14700,12010,81.7,12540,12970,11040,85.1,3370,490,550,15.1,210,270,46065100
,  Grey district,14490,15040,11440,76.1,12960,13500,10280,76.2,6840,960,890,13.6,470,400,97056700
,  Westland district,13830,14300,11960,83.6,12620,13090,11320,86.5,3630,480,850,17.4,180,540,48891600
,  Hurunui district,12590,13070,10790,82.6,11760,12100,9930,82.1,4650,830,920,18.6,350,440,56635100
,  Waimakariri district,12840,13370,9890,74,11980,12480,9580,76.8,14450,2110,1900,14,1100,890,181757000
,  Christchurch city (modified),15400,16080,11910,74.1,13570,14110,10830,76.8,209600,33190,29560,15.1,15990,12360,3141938400
