Year,Region,Income
,Auckland Region,1784
,Waikato Region,1498
,Bay of Plenty Region,1387
,Gisborne/Hawkes Bay Regions,1404
,Taranaki Region,1393
,Manawatu-Wanganui Region,1240
,Wellington Region,1900
,Tasman/Nelson/Marlborough/West Coast Regions,1421
,Canterbury Region,1588
,Otago Region,1486
,Southland Region,1282
2018,Northland Region,1343
,Auckland Region,1937
,Waikato Region,1675
,Bay of Plenty Region,1642
,Gisborne/Hawkes Bay Regions,1448
,Taranaki Region,1432
,Manawatu-Wanganui Region,1358
,Wellington Region,1958
,Tasman/Nelson/Marlborough/West Coast Regions,1511
,Canterbury Region,1681
,Otago Region,1720
,Southland Region,1436
2019,Northland Region,1311
,Auckland Region,1967
,Waikato Region,1726
,Bay of Plenty Region,1657
,Gisborne/Hawkes Bay Regions,1522
,Taranaki Region,1418
,Manawatu-Wanganui Region,1482
,Wellington Region,1996
,Tasman/Nelson/Marlborough/West Coast Regions,1605
,Canterbury Region,1740
,Otago Region,1536
,Southland Region,1553
2020,Northland Region,1339
,Auckland Region,1918
,Waikato Region,1712
,Bay of Plenty Region,1630
,Gisborne/Hawkes Bay Regions,1612
,Taranaki Region,1657
,Manawatu-Wanganui Region,1435
,Wellington Region,2072
,Tasman/Nelson/Marlborough/West Coast Regions,1619
,Canterbury Region,1738
,Otago Region,1536
,Southland Region,1500
2021,Northland Region,1534
,Auckland Region,2071
,Waikato Region,1812
,Bay of Plenty Region,1806
,Gisborne/Hawkes Bay Regions,1854
,Taranaki Region,1842
,Manawatu-Wanganui Region,1470
,Wellington Region,2279
,Tasman/Nelson/Marlborough/West Coast Regions,1591
,Canterbury Region,1758
,Otago Region,1618
,Southland Region,1620
data extracted on 17 May 2022 23:05 UTC (GMT) from NZ.Stat,,
